symbol,year,quarter,year_quarter,quarter_open,quarter_high,quarter_low,quarter_close,avg_close,total_volume,usd_sar,eur_sar,gbp_sar,cny_sar,aed_sar,gdp_value,gdp_growth_rate,inflation_rate,unemployment_rate
1120,2014,Q1,2014-Q1,18.2506,18.8131,17.3755,18.6881,18.0513171875,752506574,3.7499531255859297,5.13535658774955,6.203281535932509,0.6146730656409367,1.0211062665291577,762832.0,7.07,1.37,5.61
1120,2014,Q2,2014-Q2,18.6881,19.0006,17.401,18.2812,18.142144615384613,780544902,3.7499531255859297,5.143463054109231,6.307215454479925,0.602165280473368,1.0211062665291577,763677.0,5.82,2.03,5.7
1120,2014,Q3,2014-Q3,18.2812,21.5312,17.9427,19.2969,19.41649333333333,833427135,3.7499531255859297,4.971906028814358,6.261847313020899,0.6082294770482624,1.0211062665291577,759291.0,4.06,2.0,5.64
1120,2014,Q4,2014-Q4,19.3646,19.6354,13.1083,13.8802,16.58187868852459,1353487626,3.7499531255859297,4.685021426334404,5.936901066706247,0.6099428642651714,1.0211062665291577,666024.0,-7.86,1.97,5.72
1120,2015,Q1,2015-Q1,14.151,17.4687,13.4875,15.5729,16.04571111111111,875137529,3.7499531255859297,4.229134507623015,5.685558302873481,0.60178932024553,1.0211062665291577,669419.0,-12.25,1.53,5.68
1120,2015,Q2,2015-Q2,15.5052,18.6875,15.0312,16.4937,17.211827692307693,784831276,3.7499531255859297,4.143256508555142,5.742382823838839,0.6049622862521988,1.0211062665291577,684728.0,-10.34,1.23,5.74
1120,2015,Q3,2015-Q3,16.5208,17.9427,13.6094,14.8931,16.155904838709677,599077528,3.7499531255859297,4.1669025646832365,5.81146349074398,0.5950148106947445,1.0211062665291577,644479.0,-15.12,0.97,5.82
1120,2015,Q4,2015-Q4,14.8958,15.9115,12.6208,14.1077,14.036551515151515,729865447,3.7499531255859297,4.105224031446016,5.6907134360837,0.5865087683060861,1.0211062665291577,601678.0,-9.66,1.0,5.77
1120,2016,Q1,2016-Q1,14.0833,14.9635,12.1062,14.0508,13.945493846153846,610885145,3.7499531255859297,4.133366945328273,5.372446316863342,0.5732240134247804,1.0211062665291577,608587.0,-9.09,3.4,5.72
1120,2016,Q2,2016-Q2,14.0156,16.9948,13.5417,15.776,15.679330769230768,453891696,3.7499531255859297,4.232967654545184,5.381704805803252,0.5740741792158651,1.0211062665291577,654884.0,-4.36,3.17,5.7
1120,2016,Q3,2016-Q3,15.776,16.25,13.2979,13.9479,15.398676666666669,356432373,3.7499531255859297,4.1871263160433845,4.93156911808535,0.5625352731017034,1.0211062665291577,648526.0,0.63,2.93,5.81
1120,2016,Q4,2016-Q4,14.0156,17.6042,13.1625,17.0625,16.025201538461538,614998440,3.7499531255859297,4.047701279645562,4.660394046447919,0.5489941472450042,1.0211062665291577,672801.0,11.82,2.17,5.87
1120,2017,Q1,2017-Q1,17.0625,18.2812,16.7917,17.2656,17.361461538461537,468343959,3.7499531255859297,3.995255412239332,4.643373441761262,0.5444649391802415,1.0211062665291577,670636.0,10.2,-0.7,5.8
1120,2017,Q2,2017-Q2,17.1302,19.2021,16.5208,18.7687,17.264511475409837,773379926,3.7499531255859297,4.120729215109764,4.7913650125049365,0.5463913254672996,1.0211062665291577,682872.0,4.27,-0.77,6.0
1120,2017,Q3,2017-Q3,18.5521,19.4187,16.7104,17.9021,17.729576923076923,644077712,3.7499531255859297,4.399604609446621,4.902300351153905,0.5619010333482156,1.0211062665291577,697938.0,7.62,-0.9,5.8
1120,2017,Q4,2017-Q4,17.6312,18.3083,16.7375,17.4958,17.375998484848484,1002499533,3.7499531255859297,4.41559800395772,4.978007487572566,0.5669772716067643,1.0211062665291577,728302.0,8.25,-1.03,6.0
1120,2018,Q1,2018-Q1,17.4958,21.1792,17.3604,20.4208,19.652759375,904325245,3.7499531255859297,4.606775850666755,5.213870052978713,0.5894828401545231,1.0211062665291577,774359.0,15.47,2.97,6.1
1120,2018,Q2,2018-Q2,20.4208,25.025,20.0687,23.3729,22.51999076923077,658310942,3.7499531255859297,4.472570853386178,5.103697600869535,0.5882371953367658,1.0211062665291577,844768.0,23.71,2.47,6.0
1120,2018,Q3,2018-Q3,23.4542,24.4833,21.6937,23.8062,23.2933,452162643,3.7499531255859297,4.360108983767598,4.886170808847156,0.5510443788382188,1.0211062665291577,843111.0,20.8,2.3,6.0
1120,2018,Q4,2018-Q4,23.8062,24.2125,21.1792,23.6979,23.341316666666668,707614533,3.7499531255859297,4.28065858862964,4.825528303559299,0.5422638691352247,1.0211062665291577,862380.0,18.41,2.17,6.0
1120,2019,Q1,2019-Q1,23.6979,29.0875,23.3458,28.8708,27.0033515625,650624534,3.7499531255859297,4.259953736902418,4.879471629125458,0.5555847066049762,1.0211062665291577,791540.0,2.22,-2.93,5.7
1120,2019,Q2,2019-Q2,29.4125,32.0417,27.2083,29.0417,29.70076923076923,1261350570,3.7499531255859297,4.213555981953015,4.8196063705662935,0.5496529937967733,1.0211062665291577,846688.0,0.23,-2.5,5.6
1120,2019,Q3,2019-Q3,29.0833,30.3333,23.6667,26.375,27.51986769230769,1088855090,3.7499531255859297,4.170502849314746,4.62402411730144,0.5347938631241611,1.0211062665291577,837803.0,-0.63,-1.77,5.5
1120,2019,Q4,2019-Q4,26.375,27.875,23.625,27.25,25.981689393939394,970496232,3.7499531255859297,4.151993656475779,4.824275755602191,0.5325519484165552,1.0211062665291577,857307.0,-0.59,-0.97,5.7
1120,2020,Q1,2020-Q1,27.2083,27.875,21.25,22.4167,25.62949384615385,1083554308,3.7499531255859297,4.135388060725674,4.7995881847852,0.537373119415527,1.0211062665291577,739156.0,-6.62,0.8,5.7
1120,2020,Q2,2020-Q2,22.375,25.0,21.2917,23.5833,23.25763333333333,1001135217,3.7499531255859297,4.125167556599792,4.651638296784747,0.5288480817052852,1.0211062665291577,646000.0,-23.7,0.47,9.0
1120,2020,Q3,2020-Q3,23.5833,28.7083,23.5417,27.375,26.109725,626568638,3.7499531255859297,4.378371226867208,4.839364654543005,0.541610714943805,1.0211062665291577,733093.0,-12.5,5.9,8.5
1120,2020,Q4,2020-Q4,27.4583,31.5,26.6667,30.6667,29.502524242424244,552283206,3.7499531255859297,4.468998026354458,4.947845939136117,0.5659013670823787,1.0211062665291577,761568.0,-11.17,5.53,7.4
1120,2021,Q1,2021-Q1,30.6667,41.625,29.75,41.1667,34.6992234375,645035325,3.7499531255859297,4.522222199890261,5.168810478672052,0.5784065413923789,1.0211062665291577,823010.0,11.34,5.1,5.8
1120,2021,Q2,2021-Q2,41.1667,47.9167,37.375,46.25,42.4282737704918,525579304,3.7499531255859297,4.516243339161438,5.240190765977687,0.5802069107106196,1.0211062665291577,884785.0,36.96,5.83,6.3
1120,2021,Q3,2021-Q3,46.25,51.8333,44.0,51.0833,49.09861,371111493,3.7499531255859297,4.419953206147579,5.1704390264737725,0.5795527490643688,1.0211062665291577,961502.0,31.16,0.47,6.1
1120,2021,Q4,2021-Q4,51.0,62.9167,50.8333,59.0833,57.90384769230769,487863639,3.7499531255859297,4.288156670600584,5.054128618783559,0.5864635292992717,1.0211062665291577,1015682.0,33.37,1.33,6.3
1120,2022,Q1,2022-Q1,59.25,70.75,58.8333,66.9167,63.5612015625,635469184,3.7499531255859297,4.207579533772138,5.031668764127109,0.5906736567424741,1.0211062665291577,1071428.0,30.18,1.83,5.4
1120,2022,Q2,2022-Q2,67.4167,78.2667,54.4667,55.0,65.57278166666667,688075863,3.7499531255859297,3.998040520799696,4.717839499100241,0.5676048572005977,1.0211062665291577,1218947.0,37.77,2.33,5.1
1120,2022,Q3,2022-Q3,55.3333,61.8667,52.3333,54.2,57.71888333333333,440169664,3.7499531255859297,3.782527682346615,4.419033931936309,0.5477791425946512,1.0211062665291577,1199420.0,24.74,2.87,4.9
1120,2022,Q4,2022-Q4,54.2,59.1333,47.8667,50.1333,54.13645625,368897920,3.7499531255859297,3.821613717931676,4.39119431894008,0.5268595277964215,1.0211062665291577,1156737.0,13.89,3.17,4.1
1120,2023,Q1,2023-Q1,50.2667,54.8667,46.0,49.0,50.534378125,222002919,3.7499531255859297,4.021979672020964,4.554282493034478,0.5478258011343646,1.0211062665291577,1146388.0,7.0,3.23,4.3
1120,2023,Q2,2023-Q2,49.0,52.4,47.0667,48.6667,49.633934545454544,21467389,3.7499531255859297,4.0845914398633685,4.694668558979224,0.5354462473749896,1.0211062665291577,1126757.0,-7.56,2.83,4.1
1120,2023,Q3,2023-Q3,48.6667,50.8,44.2,45.2667,47.8729171875,401265808,3.7499531255859297,4.082737564292023,4.749845759084725,0.5179620221237343,1.0211062665291577,1143376.0,-4.67,2.13,4.2
1120,2023,Q4,2023-Q4,45.2667,58.6667,42.0667,57.6667,48.806060606060605,422254147,3.7499531255859297,4.03450554722586,4.654172237761424,0.5193274483749002,1.0211062665291577,1153172.0,-0.31,1.67,3.4
1120,2024,Q1,2024-Q1,86.5,92.5,81.7,82.3,87.253125,258918700,3.7499531255859297,4.073668033658347,4.757759461275236,0.5218614050802921,1.0211062665291577,1163668.0,1.51,1.5,3.5
1120,2024,Q2,2024-Q2,82.2,85.0,56.3333,81.5,79.43515090909091,260550616,3.7499531255859297,4.039403269164527,4.734533164624401,0.5180093640154264,1.0211062665291577,1186619.0,5.31,1.6,3.3
1120,2024,Q3,2024-Q3,80.0,91.0,78.6,87.2,85.51076923076923,264674629,3.7499531255859297,4.119438645886785,4.873929457287955,0.5235089667981508,1.0211062665291577,1165884.0,1.97,1.4,3.7
1120,2024,Q4,2024-Q4,87.2,96.0,80.1,94.6,89.73333333333333,290630365,3.7499531255859297,4.004769157705633,4.8105757370246485,0.5217850948684705,1.0211062665291577,1186857.0,2.92,1.47,3.5
1120,2025,Q1,2025-Q1,94.7,104.0,93.9,102.0,99.06721311475413,208690836,3.7499531255859297,3.944648689587705,4.722780647304315,0.515559883712604,1.0211062665291577,1198648.0,3.01,1.8,2.8
1120,2025,Q2,2025-Q2,100.6,102.4,87.8,94.6,95.17966101694915,216715179,3.7499531255859297,4.252356319422054,5.008368378152727,0.5187168427358837,1.0211062665291577,1175941.0,-0.9,2.07,3.2
1120,2025,Q3,2025-Q3,94.95,108.0,90.15,107.2,95.38307692307691,180959210,3.7499531255859297,4.381576233949501,5.058630628688814,0.524069904089511,1.0211062665291577,1191102.0,2.16,2.23,3.4
1120,2025,Q4,2025-Q4,105.0,110.0,64.3333,65.0,100.91363636363636,202063752,3.7499531255859297,4.367102427539328,4.990875377841815,0.5291023548505458,1.0211062665291577,1210139.0,1.96,2.07,3.5
1120,2026,Q1,2026-Q1,65.0,73.0667,63.3333,71.0667,68.73448620689655,311255313,3.7499531255859297,4.3894923357025215,5.0563104439777655,0.5417173523504213,1.0211062665291577,1273819.0,6.27,1.77,3.1
1211,2014,Q1,2014-Q1,10.0183,11.6521,9.2477,11.1589,10.381971875,734619830,3.7499531255859297,5.13535658774955,6.203281535932509,0.6146730656409367,1.0211062665291577,762832.0,7.07,1.37,5.61
1211,2014,Q2,2014-Q2,11.1897,12.0836,10.4807,10.5732,11.080610769230768,1162001356,3.7499531255859297,5.143463054109231,6.307215454479925,0.602165280473368,1.0211062665291577,763677.0,5.82,2.03,5.7
