main_activities,year,quarter,year_quarter,gdp_value
Gross Domestic Product,2013,Q1,2013-Q1,712484.0
Gross Domestic Product,2013,Q2,2013-Q2,721647.0
Gross Domestic Product,2013,Q3,2013-Q3,729632.0
Gross Domestic Product,2013,Q4,2013-Q4,722821.0
Gross Domestic Product,2014,Q1,2014-Q1,762832.0
Gross Domestic Product,2014,Q2,2014-Q2,763677.0
Gross Domestic Product,2014,Q3,2014-Q3,759291.0
Gross Domestic Product,2014,Q4,2014-Q4,666024.0
Gross Domestic Product,2015,Q1,2015-Q1,669419.0
Gross Domestic Product,2015,Q2,2015-Q2,684728.0
Gross Domestic Product,2015,Q3,2015-Q3,644479.0
Gross Domestic Product,2015,Q4,2015-Q4,601678.0
Gross Domestic Product,2016,Q1,2016-Q1,608587.0
Gross Domestic Product,2016,Q2,2016-Q2,654884.0
Gross Domestic Product,2016,Q3,2016-Q3,648526.0
Gross Domestic Product,2016,Q4,2016-Q4,672801.0
Gross Domestic Product,2017,Q1,2017-Q1,670636.0
Gross Domestic Product,2017,Q2,2017-Q2,682872.0
Gross Domestic Product,2017,Q3,2017-Q3,697938.0
Gross Domestic Product,2017,Q4,2017-Q4,728302.0
Gross Domestic Product,2018,Q1,2018-Q1,774359.0
Gross Domestic Product,2018,Q2,2018-Q2,844768.0
Gross Domestic Product,2018,Q3,2018-Q3,843111.0
Gross Domestic Product,2018,Q4,2018-Q4,862380.0
Gross Domestic Product,2019,Q1,2019-Q1,791540.0
Gross Domestic Product,2019,Q2,2019-Q2,846688.0
Gross Domestic Product,2019,Q3,2019-Q3,837803.0
Gross Domestic Product,2019,Q4,2019-Q4,857307.0
Gross Domestic Product,2020,Q1,2020-Q1,739156.0
Gross Domestic Product,2020,Q2,2020-Q2,646000.0
Gross Domestic Product,2020,Q3,2020-Q3,733093.0
Gross Domestic Product,2020,Q4,2020-Q4,761568.0
Gross Domestic Product,2021,Q1,2021-Q1,823010.0
Gross Domestic Product,2021,Q2,2021-Q2,884785.0
Gross Domestic Product,2021,Q3,2021-Q3,961502.0
Gross Domestic Product,2021,Q4,2021-Q4,1015682.0
Gross Domestic Product,2022,Q1,2022-Q1,1071428.0
Gross Domestic Product,2022,Q2,2022-Q2,1218947.0
Gross Domestic Product,2022,Q3,2022-Q3,1199420.0
Gross Domestic Product,2022,Q4,2022-Q4,1156737.0
Gross Domestic Product,2023,Q1,2023-Q1,1146388.0
Gross Domestic Product,2023,Q2,2023-Q2,1126757.0
Gross Domestic Product,2023,Q3,2023-Q3,1143376.0
Gross Domestic Product,2023,Q4,2023-Q4,1153172.0
Gross Domestic Product,2024,Q1,2024-Q1,1163668.0
Gross Domestic Product,2024,Q2,2024-Q2,1186619.0
Gross Domestic Product,2024,Q3,2024-Q3,1165884.0
Gross Domestic Product,2024,Q4,2024-Q4,1186857.0
Gross Domestic Product,2025,Q1,2025-Q1,1198648.0
Gross Domestic Product,2025,Q2,2025-Q2,1175941.0
Gross Domestic Product,2025,Q3,2025-Q3,1191102.0
Gross Domestic Product,2025,Q4,2025-Q4,1210139.0
Gross Domestic Product,2026,Q1,2026-Q1,1273819.0
